specification,hagibis_mask,placebo_code,pre_rmspe,opening_gap_log,late_gap_log
strict_donors_hagibis_recovery,recovery,18,0.10072250915834474,-0.06892306929333447,0.01116186111505012
strict_donors_hagibis_recovery,recovery,19,0.15432581523989594,0.022373281964372715,0.15783617407175696
strict_donors_hagibis_recovery,recovery,22,0.08838922178380358,-0.05176465178677425,-0.15190821554239267
strict_donors_hagibis_recovery,recovery,23,0.04138067039676964,0.06362111194461217,-0.02675879643617231
strict_donors_hagibis_recovery,recovery,24,0.07440597448059134,-0.006631441804161753,-0.06920110550899257
strict_donors_hagibis_recovery,recovery,25,0.06725827044034853,0.12504158729952053,-0.03387562858817327
strict_donors_hagibis_recovery,recovery,30,0.07270959255219575,-0.021515934688717486,0.019248895065676376
strict_donors_hagibis_recovery,recovery,36,0.2597929969757406,-0.252015558032638,-0.18498025545683763
strict_donors_hagibis_recovery,recovery,37,0.08303063789125847,0.04052737397672779,0.0620388512813229
strict_donors_hagibis_recovery,recovery,40,0.036887122355901934,-0.0612585417952376,0.03705940263577932
strict_donors_hagibis_recovery,recovery,41,0.10441646810476353,0.08752482006107254,-0.06921837786604551
strict_donors_hagibis_recovery,recovery,42,0.06554766103714582,0.1351486473976795,-0.06458139143943707
strict_donors_hagibis_recovery,recovery,45,0.12142812690203816,-0.1513526713800033,0.026810924177559887
strict_donors_hagibis_recovery,recovery,46,0.04338751689656207,-0.06842362334271979,0.04797467394193807
strict_donors_hagibis_recovery,recovery,47,0.14046468513497393,-0.03823837672175756,0.25677039433045695
mask_2018_06_09_hagibis_recovery,recovery,05,0.11255091497731647,-0.29088880073171275,-0.08405242157129177
mask_2018_06_09_hagibis_recovery,recovery,06,0.08942036129297161,-0.05349624401484743,-0.17351009986824623
mask_2018_06_09_hagibis_recovery,recovery,08,0.056395357479537216,-0.0004915981934150437,0.012199252617425545
mask_2018_06_09_hagibis_recovery,recovery,09,0.07567404434918246,0.005362398781072919,-0.14179495755275356
mask_2018_06_09_hagibis_recovery,recovery,10,0.041895929399875624,-0.10408281331096436,-0.06374367600150567
mask_2018_06_09_hagibis_recovery,recovery,11,0.04458682696551555,-0.000229452792224194,0.20044161680078798
mask_2018_06_09_hagibis_recovery,recovery,12,0.04568096644773207,0.041218016458895335,0.09471341744095477
mask_2018_06_09_hagibis_recovery,recovery,13,0.7348387296583477,0.6784382635691966,0.5024360328931936
mask_2018_06_09_hagibis_recovery,recovery,14,0.03609060791770332,0.0076380265258988445,-0.0877311069225506
mask_2018_06_09_hagibis_recovery,recovery,18,0.09988154159483897,-0.04431708817732094,0.011348485427152296
mask_2018_06_09_hagibis_recovery,recovery,19,0.15431999152639864,0.023772815700004557,0.12914413459311713
mask_2018_06_09_hagibis_recovery,recovery,21,0.05213749705218891,0.06695976281944116,0.04661925960152308
mask_2018_06_09_hagibis_recovery,recovery,22,0.08439828277408618,-0.045154335216980535,-0.145414911804716
mask_2018_06_09_hagibis_recovery,recovery,23,0.03583104417970593,0.04788953694331699,-0.036701815142389904
mask_2018_06_09_hagibis_recovery,recovery,24,0.06788346532068898,-0.017892182950890678,-0.1168629321631478
mask_2018_06_09_hagibis_recovery,recovery,25,0.05664949169977715,0.14816038655686636,-0.06418739435660334
mask_2018_06_09_hagibis_recovery,recovery,26,0.11270750413521427,-0.09895424149629495,0.11500203788883798
mask_2018_06_09_hagibis_recovery,recovery,27,0.058023436049408135,0.05941124471893211,0.2693238127176874
mask_2018_06_09_hagibis_recovery,recovery,28,0.036809596687387626,-0.007151162605198991,-0.11172186319872152
mask_2018_06_09_hagibis_recovery,recovery,29,0.2222059366322279,-0.0034474601435210417,0.03743150758791176
mask_2018_06_09_hagibis_recovery,recovery,30,0.07230376321938077,0.008392777555011222,0.05554338191489502
mask_2018_06_09_hagibis_recovery,recovery,31,0.08796465584304479,-0.16655345879999484,-0.13330920006863223
mask_2018_06_09_hagibis_recovery,recovery,32,0.07333003554366535,0.14965175376916484,0.053798485934731445
mask_2018_06_09_hagibis_recovery,recovery,35,0.04125351751852626,0.00910759135487993,-0.24313739314705998
mask_2018_06_09_hagibis_recovery,recovery,36,0.18848887104692827,-0.1322023657711222,-0.14028906987355882
mask_2018_06_09_hagibis_recovery,recovery,37,0.05508987534633908,0.11240189882606622,0.1184785322552774
mask_2018_06_09_hagibis_recovery,recovery,39,0.09144735527235216,-0.15996090157393628,-0.15955429328512824
mask_2018_06_09_hagibis_recovery,recovery,40,0.037965058931289535,-0.05630868135797318,0.050268150889044974
mask_2018_06_09_hagibis_recovery,recovery,41,0.10287535419817004,0.0941327183056675,-0.051819628207173556
mask_2018_06_09_hagibis_recovery,recovery,42,0.06179463512882993,0.13896474960260008,-0.09719126154512392
mask_2018_06_09_hagibis_recovery,recovery,44,0.06037724323491077,0.14484019385411084,0.09145519734164989
mask_2018_06_09_hagibis_recovery,recovery,45,0.11084304929591292,-0.1612794562668034,0.0373248431462212
mask_2018_06_09_hagibis_recovery,recovery,46,0.039484850166011234,-0.068210450203809,0.03378908042243576
mask_2018_06_09_hagibis_recovery,recovery,47,0.140632414561094,-0.035506816403191976,0.2573868784449696
japanese_only_hagibis_recovery,recovery,05,0.11028808229209446,-0.27288486167203096,-0.011978410854860146
japanese_only_hagibis_recovery,recovery,06,0.08544219891434177,-0.015311873062661796,-0.10667386175911563
japanese_only_hagibis_recovery,recovery,08,0.05795046463922978,-0.006864617332736245,0.016174187117032616
japanese_only_hagibis_recovery,recovery,09,0.07180607908074592,0.045515414145071986,-0.04304265207376858
japanese_only_hagibis_recovery,recovery,10,0.04104693898217675,-0.08008770475107774,-0.04352821955645579
japanese_only_hagibis_recovery,recovery,11,0.04605007468074006,0.021099108703360514,0.24806627666757572
japanese_only_hagibis_recovery,recovery,12,0.044251453594542065,0.032399439214872316,0.08741616576863509
japanese_only_hagibis_recovery,recovery,13,0.7114594251291326,0.6520791116264242,0.5387081370415202
