target_code,target,ym,actual_log,synthetic_log,gap_log
16,Toyama,201405,12.636067751381615,12.737533161520155,-0.10146541013853927
16,Toyama,201406,12.422473515976991,12.585472016881436,-0.162998500904445
16,Toyama,201407,12.60826573976792,12.668590837107399,-0.06032509733947933
16,Toyama,201408,12.973120633929653,13.02262167614552,-0.04950104221586571
16,Toyama,201409,12.718986088284511,12.669240791806013,0.049745296478498346
16,Toyama,201410,12.781899183513577,12.747543833853234,0.03435534966034304
16,Toyama,201411,12.658166854232341,12.69952017663697,-0.0413533224046283
16,Toyama,201412,12.482643213227236,12.452732508220574,0.02991070500666204
16,Toyama,201501,12.28043772748548,12.361726916627036,-0.0812891891415557
16,Toyama,201502,12.324921779368555,12.365796105651512,-0.04087432628295673
16,Toyama,201503,12.494254593023605,12.548418439853643,-0.054163846830038054
16,Toyama,201504,12.636262886025138,12.424895755405169,0.21136713061996915
16,Toyama,201505,12.826676014614407,12.696324819681937,0.13035119493246938
16,Toyama,201506,12.577843077114242,12.4983774465907,0.07946563052354172
16,Toyama,201507,12.797491594582766,12.658121473074301,0.13937012150846506
16,Toyama,201508,13.193306346214895,13.021886851062819,0.171419495152076
16,Toyama,201509,12.913886739133515,12.675988723147501,0.2378980159860138
16,Toyama,201510,12.924302606457582,12.754920846090632,0.1693817603669494
16,Toyama,201511,12.743267524316233,12.619650915158164,0.12361660915806816
16,Toyama,201512,12.458697326166552,12.380742827367056,0.07795449879949601
16,Toyama,201601,12.241681072997542,12.29852969579249,-0.05684862279494851
16,Toyama,201602,12.343527580984022,12.330990681975745,0.012536899008276592
16,Toyama,201603,12.416617161267869,12.57408597390101,-0.15746881263314094
