unit_role,area_code,donor_code,weight
high_confidence,18208,24207,0.037269548024223532
high_confidence,18208,26463,0.13771916109481264
high_confidence,18208,27125,0.12619131088320795
high_confidence,18208,27206,0.040794705414773536
high_confidence,18208,29451,0.033282161446372222
high_confidence,18208,31390,0.14377478666564991
high_confidence,18208,39305,0.038403596349589182
high_confidence,18208,43216,0.0028311647088727541
high_confidence,18208,43425,0.01835011624195056
high_confidence,18208,43506,0.027734182664753183
high_confidence,18210,1481,0.0036588546559690508
high_confidence,18210,1642,0.0024355002873501482
high_confidence,18210,2205,0.040684255807692048
high_confidence,18210,3501,0.00095401463045049887
high_confidence,18210,6203,0.18007373329973597
high_confidence,18210,9407,0.37664347356482797
high_confidence,18210,12237,0.038790421132694056
high_confidence,18210,13101,0.0016913675448955155
high_confidence,18210,13228,0.01499787035823782
high_confidence,18210,20417,0.0053480901004890162
high_confidence,18210,22302,0.0061404306369440397
high_confidence,18210,22344,0.0068515973799701622
high_confidence,18210,23101,0.063743529935580343
high_confidence,18210,23228,0.0029258119444189987
high_confidence,18210,24207,0.014945548175570566
high_confidence,18210,26108,0.011709032855167185
high_confidence,18210,26212,0.059876303753852708
high_confidence,18210,29451,0.078591396507923503
high_confidence,18210,30401,0.010714229320266833
high_confidence,18210,31390,0.023725217491356049
high_confidence,18210,32525,0.0027341802478772366
high_confidence,18210,34431,0.017174881907016958
high_confidence,18210,38484,0.028642096029364385
high_confidence,18210,40218,0.005336023827031508
high_confidence,18210,43507,0.00090007858366646814
high_confidence,18210,46524,0.00071206002165364842
high_confidence,18322,1234,0.0053974341548679375
high_confidence,18322,1642,0.047386452776298417
high_confidence,18322,3501,0.0069339450152624523
high_confidence,18322,3506,0.02770773968240314
high_confidence,18322,9202,0.0075859431282876335
high_confidence,18322,12227,0.0011005847232684002
high_confidence,18322,13101,0.010894458292446785
high_confidence,18322,13206,0.020006631813636277
high_confidence,18322,20417,0.032029919109896367
high_confidence,18322,20423,0.030021529502689444
high_confidence,18322,20541,0.128241584677976
high_confidence,18322,23228,0.0051898789475528385
high_confidence,18322,25425,0.0010425786975748156
high_confidence,18322,26105,0.0027032297435988653
high_confidence,18322,26107,0.0060642486965695134
high_confidence,18322,26108,0.13215970388247805
high_confidence,18322,26366,0.0087435802410154341
high_confidence,18322,27104,0.10820392495165343
high_confidence,18322,27205,0.052506144088314048
high_confidence,18322,29451,0.10287729555103713
high_confidence,18322,30344,0.056790399713572706
high_confidence,18322,32525,0.0014951539442773518
high_confidence,18322,34101,0.023464253763730011
high_confidence,18322,37324,0.07534680153207958
high_confidence,18322,39305,0.060222782128674018
high_confidence,18322,40218,0.020910607967569397
high_confidence,18322,47215,0.024973193273269991
high_confidence,18404,1105,0.012726984016300718
high_confidence,18404,1229,0.009003734186686211
high_confidence,18404,1371,0.026286391475002731
high_confidence,18404,1391,0.026153882851728927
high_confidence,18404,1402,0.016744645130523369
high_confidence,18404,1457,0.03795816096516498
high_confidence,18404,1461,0.025756472105451969
high_confidence,18404,1564,0.010257187490875379
high_confidence,18404,1635,0.0085531785170478956
high_confidence,18404,2323,0.039340039236636565
high_confidence,18404,2401,0.0010195294051745926
high_confidence,18404,3484,0.0020003059737690315
high_confidence,18404,3501,0.0014559887399122275
high_confidence,18404,7541,0.0094255262482573071
high_confidence,18404,13101,0.0088870076104705219
high_confidence,18404,13105,0.10875050899429717
high_confidence,18404,20213,0.034923156208417828
high_confidence,18404,23228,0.0035587343498614627
high_confidence,18404,23425,0.010145059707105615
high_confidence,18404,23427,0.0048045511412781348
high_confidence,18404,23447,0.020206012813642517
high_confidence,18404,28107,0.10125470836994617
high_confidence,18404,29361,0.0020901547346573639
high_confidence,18404,31403,0.23692974874366804
high_confidence,18404,36402,0.0073611200090598489
